station	cutFill	graph
30000	-9.510565163	0.01
30100	-11.07620484	0.01
30200	-9.332369931	0.01
30300	-13.66151281	0.01
30400	-14.64040925	0.01
30500	-15.38841769	0.01
30600	-15.89374158	0.01
30700	-16.14841168	0.01
30800	-16.14841168	0.01
30900	-15.89374158	0.01
31000	-15.38841769	0.01
31100	-14.64040925	0.01
31200	-13.66151281	0.01
31300	-12.46716616	0.01
31400	-11.07620484	0.01
31500	-9.510565163	0.01
31600	-7.794938189	0.01
31700	-5.956380383	0.01
31800	-4.023886901	0.01
31900	-2.027934318	0.01
32000	0	0.01
32100	2.027934318	0.01
32200	4.023886901	0.01
32300	5.956380383	0.01
32400	7.794938189	0.01
32500	9.510565163	0.01
32600	11.07620484	0.01
32700	11.99746403	0.01
32800	13.66151281	0.01
32900	14.64040925	0.01
33000	15.38841769	0.01
33100	15.89374158	0.01
33200	16.14841168	0.01
33300	16.14841168	0.01
33400	15.89374158	0.01
33500	15.38841769	0.01
33600	14.64040925	0.01
33700	13.66151281	0.01
33800	12.46716616	0.01
33900	11.07620484	0.01
34000	9.510565163	0.01
34100	7.794938189	0.01
34200	5.956380383	0.01
34300	4.023886901	0.01
34400	2.027934318	0.01
34500	0	0.01
34600	-2.027934318	0.01
34700	-4.023886901	0.01
34800	-5.956380383	0.01
34900	-7.794938189	0.01
35000	-9.510565163	0.01
